MATERIAL,CANTIDAD(%)
MICROFIBRA,33.82838283828383
SINTÉTICO,61.115924092409244
VIDRIO,76.62541254125412
MADERA LAMINADA,85.0680693069307
METAL + VIDRIO,90.08044554455445
