,REF,CANTIDAD,TOTAL,PRECIO_PROMEDIO,DESCUENTO_PROMEDIO,ITEM,DESCRIPCION,CATEGORIA,SUBCATEGORIA,VIGENCIA,ORIGEN,ESTILO,MATERIAL,ACABADO,PUESTOS,COLOR,ANCHO,ALTO,FONDO,DESC_LARGA,SUBCATEGORIA_POS,COLOR_POS,MATERIAL_POS
975,XC0101:00046:,38,18467039,1003681.4285714285,0.514378745473759,19173,SOFA LAERTES,SALAS Y SOFAS,SOFA 2P,NOVEDAD,IMPORTADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,2.0,AZUL,130.0,77.0,65.0,SOFA LAERTES 2P AZ,SOFA 2P,AZUL,MICROFIBRA
873,XA0803:00029:,38,1365085,113758.05208333333,0.687503232372891,18605,PUFF LANIKAI,SALAS Y SOFAS,PUFF,DESCONTINUADO,IMPORTADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,30.0,40.0,30.0,PUFF LANIKAI GR 40*40*37CM LIQUIDACIÓN,PUFF,GRIS,MICROFIBRA
994,XC0128::,38,32656220,1499527.894736842,0.4267005066930557,19526,COMEDOR ESIKOL,COMEDORES,SET 4P,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,VIDRIO,BRILLANTE,4.0,MADERA,120.0,74.0,80.0,COMEDOR ESIKOL 4P MADERA VINO GRIS 2C,SET 4P,OTRO,VIDRIO
93,D00055:00157:,37,14861260,662177.8918918918,0.39219773081605763,18572,COMBO HAVANA,ALCOBAS,CAMA DOBLE,NOVEDAD,NACIONAL,MODERNO,MDF,MATE,2.0,HABANO,230.0,100.0,4.2,COMBO CABECERA +2 NOCHEROS HAVANA HABANO,OTROS,OTRO,OTRO
698,XA0515:00001:,37,3836090,217736.16666666666,0.5198553180059582,17157,MESA DE COMPUTADOR TEREZA,SALAS Y SOFAS,ESCRITORIOS,LINEA,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,BLANCO,113.0,47.0,54.0,MESA COMPUTADOR TEREZA 113X54 BL,OTROS,BLANCO,VIDRIO
702,XA0519:00001:,37,13807123,967348.972972973,0.6142390195707103,17220,SET COMEDOR WAGNER,COMEDORES,SET 6P,LINEA,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,6.0,BLANCO,150.0,75.0,70.0,COMEDOR WAGNER 6P BL 3C,SET 6P,BLANCO,VIDRIO
946,XC0071:00046:,37,4688611,208131.75,0.39091901970927756,19464,PUFF DOBLE WITHBUTH,SALAS Y SOFAS,PUFF,NOVEDAD,IMPORTADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,AZUL,109.0,45.0,40.0,PUFF DOBLE WITHBUTH AZ,PUFF,AZUL,MICROFIBRA
554,XA0171:00005:,37,19049242,913252.1714285715,0.37857082774017276,15251,SET COMEDOR WADANHILL,COMEDORES,SET 4P,LINEA,IMPORTADO,CONTEMPORÁNEO,VIDRIO,BRILLANTE,4.0,NEGRO,100.0,75.0,100.0,COMEDOR WADANHILL REDONDO 4P NG 2C,SET 4P,NEGRO,VIDRIO
12,BR0020:00001:,37,2560734,117178.09090909091,0.4123433683256521,19423,ESCRITORIO LOURES,ESTUDIO,ESCRITORIOS,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,BLANCO,90.0,69.0,45.0,ESCRITORIO LOURES ME90 BL,OTROS,BLANCO,MADERA LAMINADA
688,XA0437:00005:,37,1710884,91004.32051282052,0.4884613271460148,17664,PUFF LAMAN,SALAS Y SOFAS,PUFF,DESCONTINUADO,IMPORTADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,NEGRO,30.0,40.0,30.0,PUFF LAMAN PATAS NATURAL NG LIQUIDACIÓN,PUFF,NEGRO,MICROFIBRA
995,XC0129::,37,9509454,422623.4047619048,0.3928073677213516,19469,POLTRONA EVANGELINA,SALAS Y SOFAS,POLTRONAS,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,ROSADO,57.0,72.0,63.0,POLTRONA EVANGELINA RS,POLTRONAS,OTRO,MICROFIBRA
996,XC0130::,37,9807192,438172.7586206897,0.3906890763444744,19470,POLTRONA EVANGELINA,SALAS Y SOFAS,POLTRONAS,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,AZUL,57.0,72.0,63.0,POLTRONA EVANGELINA AZ,POLTRONAS,AZUL,MICROFIBRA
913,XC0028:00027:,37,6320396,319507.4285714286,0.46333024709499343,19275,ESCRITORIO CARALA,ESTUDIO,ESCRITORIOS,NOVEDAD,IMPORTADO,MODERNO,CHAPILLA LAMINADA,MATE,,NEGRO/PLATA,147.0,74.0,113.0,ESCRITORIO EN L CARALA NG/PL,OTROS,OTRO,OTRO
849,XA0750:00092:,37,34408415,1734960.9428571428,0.4562693453239075,18525,SOFA RECLINO MAHON,SALAS Y SOFAS,RECLINABLES,LINEA,IMPORTADO,C+M - CLÁSICO + MODERNO,MICROFIBRA,TEXTILES SUAVES,2.0,GRIS,135.0,100.0,80.0,SOFA RECLINO MAHON 2P GR CLARO,RECLINABLES,GRIS,MICROFIBRA
443,D01291:00132:00132,36,13080876,595462.3333333334,0.38939024462804794,15070,SILLA AUXILIAR BACO,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,AMARILLO,50.0,80.0,45.0,SILLA AUXILIAR BACO,POLTRONAS,AMARILLO,MICROFIBRA
444,D01291:00132:00132,36,13080876,595462.3333333334,0.38939024462804794,15070,SILLA AUXILIAR BACO,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,AMARILLO,50.0,80.0,45.0,SILLA AUXILIAR BACO,POLTRONAS,AMARILLO,MICROFIBRA
916,XC0031:00001:,36,19650591,954517.6111111111,0.42193601650435203,19100,COMEDOR WYLIE,COMEDORES,SET 4P,LINEA,IMPORTADO,CONTEMPORÁNEO,MDF,MATE,4.0,BLANCO,120.0,74.0,80.0,COMEDOR WYLIE 4P BL,SET 4P,BLANCO,OTRO
86,D00050:00184:00184,36,23360520,1435359.1764705882,0.5465582488776103,18569,SOFA DALIAN,SALAS Y SOFAS,SOFA 2P,NOVEDAD,MANUFACTURADO,CONTEMPORÁNEO,VELVET,TEXTILES SUAVES,2.0,GRIS,159.0,77.0,87.0,SOFA DALIAN 2P,SOFA 2P,GRIS,OTRO
442,D01291:00132:00132,36,13080876,595462.3333333334,0.38939024462804794,15070,SILLA AUXILIAR BACO,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,AMARILLO,50.0,80.0,45.0,SILLA AUXILIAR BACO,POLTRONAS,AMARILLO,MICROFIBRA
16,BR0026:00001:,36,5220392,239752.76470588235,0.39462382152077596,19429,ESCRITORIO NEIRA,ESTUDIO,ESCRITORIOS,NOVEDAD,IMPORTADO,MODERNO,MADERA LAMINADA,MATE,,BLANCO,120.0,70.0,50.0,ESCRITORIO NEIRA MC05 BL,OTROS,BLANCO,MADERA LAMINADA
911,XC0026:00141:,36,6602380,307232.71428571426,0.40464355408204883,19273,STAND CAITAN,ESTUDIO,ESTANTES,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,CHAPILLA LAMINADA,MATE,,BEIGE/BLANCO,68.0,159.0,32.0,STAND CALDER-G BG/BL,OTROS,OTRO,OTRO
445,D01291:00132:00132,36,13080876,595462.3333333334,0.38939024462804794,15070,SILLA AUXILIAR BACO,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,AMARILLO,50.0,80.0,45.0,SILLA AUXILIAR BACO,POLTRONAS,AMARILLO,MICROFIBRA
147,D00511:00079:00079,36,19067381,1084235.361111111,0.5108760367759403,17742,SALA EN L PETIT,SALAS Y SOFAS,SOFAS L,LINEA,MANUFACTURADO,MODERNO,SINTÉTICO,TEXTILES SUAVES,3.0,NEGRO,182.0,90.0,145.0,SALA EN L PETIT IZQUIERDA 2C,OTROS,NEGRO,SINTÉTICO
446,D01291:00132:00132,36,13080876,595462.3333333334,0.38939024462804794,15070,SILLA AUXILIAR BACO,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,AMARILLO,50.0,80.0,45.0,SILLA AUXILIAR BACO,POLTRONAS,AMARILLO,MICROFIBRA
327,D00953:00062:00065,36,10570758,644033.9870689656,0.5345550049571769,16417,SOFA CAMA LAMAR,SALAS Y SOFAS,SOFA CAMA ABATIBLE,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,MORADO,185.0,80.0,95.0,SOFA CAMA LAMAR NACIONAL DESCONTINUADO,SOFA CAMA ABATIBLE,OTRO,MICROFIBRA
670,XA0413:00026:,36,10523523,505374.6818181818,0.4247011835895844,16948,CONSOLA RINA,COMEDORES,CONSOLAS,DESCONTINUADO,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,CRISTAL,35.0,40.0,70.0,CONSOLA RINA CRISTAL TEMPLADO 10MM 2C,OTROS,CRISTAL,VIDRIO
509,H01025:00135:00135,36,27234831,1544874.0,0.5103011097776691,15010,SOFA CESAR,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,3.0,AZUL,187.0,75.0,85.0,SOFA CESAR 3P,SOFA 3P,AZUL,MICROFIBRA
1276,XZ0946:00026:,36,4039732,310748.9705882353,0.6294122190161188,12818, MESA CENTRO WAFIYA,SALAS Y SOFAS,MESAS DE CENTRO,DESCONTINUADO,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,CRISTAL,100.0,50.0,50.0,MESA CENTRO WAFIYA DSÑ 2C LIQUIDACIÓN,MESAS DE CENTRO,CRISTAL,VIDRIO
447,D01291:00132:00132,36,13080876,595462.3333333334,0.38939024462804794,15070,SILLA AUXILIAR BACO,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,AMARILLO,50.0,80.0,45.0,SILLA AUXILIAR BACO,POLTRONAS,AMARILLO,MICROFIBRA
1121,XZ0334:00009:,36,2656137,344953.0909090909,0.7818183686923152,7114,SILLA DULCEA,COMEDORES,SILLAS DE COMEDOR,DESCONTINUADO,IMPORTADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,44.0,86.0,42.0,SILLA DULCEA 2 BASES CF LIQUIDACIÓN,SILLAS DE COMEDOR,CAFE,MICROFIBRA
63,D00038:00118:00118,36,22830484,1333903.7222222222,0.5230301427386118,18470,SOFA MINK,SALAS Y SOFAS,SOFA 2P,NOVEDAD,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,GRIS,144.0,82.0,90.0,SOFA MINK 2P,SOFA 2P,GRIS,MICROFIBRA
1063,XY0786:00001:,35,9141825,483525.4857142857,0.45104907568827657,4807,CONSOLA SAMYE,COMEDORES,CONSOLAS,DESCONTINUADO,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,BLANCO,110.0,70.0,40.0,CONSOLA SAMYE BL 2C,OTROS,BLANCO,VIDRIO
9,BR0017:00001:,35,3993315,194335.45454545456,0.41854887021686155,19418,CAMA INFANTIL RODIZIO,ALCOBAS,CAMA SENCILLA,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MDF,MATE,1.0,BLANCO,105.0,20.0,191.0,CAMA AUX INFANTIL C/RODIZIO BELO CA11 BL,OTROS,BLANCO,OTRO
679,XA0426:00005:,35,2044895,94880.72,0.3200232263407797,17647,PUFF LEAL,SALAS Y SOFAS,PUFF,DESCONTINUADO,IMPORTADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,NEGRO,30.0,40.0,30.0,PUFF LEAL PATAS HIERRO NG LIQUIDACIÓN,PUFF,NEGRO,MICROFIBRA
938,XC0059:00046:,35,4725533,225023.5909090909,0.3936865644855981,19110,MESA AUX ALLIE,SALAS Y SOFAS,MESAS AUXILIARES,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,METAL + VIDRIO,BRILLANTE,,AZUL,37.0,41.0,37.0,MESA AUXILIAR ALLIE REDONDA AZ,OTROS,AZUL,METAL + VIDRIO
1079,XZ0074:00009:,35,1882125,268874.0,0.7999992561571592,5660,CONSOLA KETCH,COMEDORES,CONSOLAS,LINEA,IMPORTADO,MODERNO,VIDRIO,BRILLANTE,,CAFE,100.0,80.0,40.0,CONSOLA KETCH 120X50 CF 2C,OTROS,CAFE,VIDRIO
607,XA0269:00009:,35,3585999,222858.975,0.5150009583789673,15358,SILLA COMEDOR DEE,COMEDORES,SILLAS DE COMEDOR,LINEA,IMPORTADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,44.0,78.0,50.0,SILLA COMEDOR DEE CF,SILLAS DE COMEDOR,CAFE,MICROFIBRA
937,XC0058:00012:,35,3814390,182419.99444444443,0.4015403554316787,19109,MESA AUX ABIAH,SALAS Y SOFAS,MESAS AUXILIARES,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,METAL+MADERA,MATE,,BLANCO/NEGRO,39.0,45.0,39.0,MESA AUXILIAR ABIAH BL/NG,OTROS,OTRO,OTRO
814,XA0715:00028:,35,6472639,326025.14285714284,0.43285719476324314,18388,MESA CENTRO AGGIE,SALAS Y SOFAS,MESAS DE CENTRO,NOVEDAD,IMPORTADO,CONTEMPORÁNEO,MADERA LAMINADA,MATE,,NEGRO/CAFE,100.0,47.5,45.0,MESA CENTRO AGGIE 100X47.5X45 NG/CF 2C,MESAS DE CENTRO,OTRO,MADERA LAMINADA
