,ITEM,REF,DESCRIPCION,CATEGORIA,SUBCATEGORIA,VIGENCIA,ORIGEN,ESTILO,MATERIAL,ACABADO,PUESTOS,COLOR,ANCHO,ALTO,FONDO,DESC_LARGA,SUBCATEGORIA_POS,COLOR_POS,MATERIAL_POS
294,16898,D00904:00194:00194,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,GRIS,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,GRIS,MICROFIBRA
295,16898,D00904:00365:00365,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,CAFE,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,CAFE,MICROFIBRA
296,16898,D00904:00366:00366,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,GRIS,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,GRIS,MICROFIBRA
297,16898,D00904:00367:00367,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,GRIS,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,GRIS,MICROFIBRA
298,16898,D00904:00378:00378,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,GRIS,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,GRIS,MICROFIBRA
299,16898,D00904:00380:00380,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,GRIS,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,GRIS,MICROFIBRA
300,16898,D00904:00382:00382,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,ROJO,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,ROJO,MICROFIBRA
301,16898,D00904:00383:00383,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,GRIS,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,GRIS,MICROFIBRA
302,16898,D00904:00396:00396,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,SURTIDOS,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,OTRO,MICROFIBRA
303,16898,D00904:00406:00406,POLTRONA VACIA NACIONAL,SALAS Y SOFAS,POLTRONAS,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,MADERA NATURAL,1.0,GRIS,72.0,79.0,72.0,POLTRONA VACIA,POLTRONAS,GRIS,MICROFIBRA
304,18025,D00905:00058:00062,SOFA CAMA ALGERMON,SALAS Y SOFAS,SOFA CAMA ABATIBLE,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,183.0,90.0,92.0,SOFA CAMA ALGERMON 3P,SOFA CAMA ABATIBLE,CAFE,MICROFIBRA
305,18025,D00905:00125:00117,SOFA CAMA ALGERMON,SALAS Y SOFAS,SOFA CAMA ABATIBLE,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,NARANJA,183.0,90.0,92.0,SOFA CAMA ALGERMON 3P,SOFA CAMA ABATIBLE,OTRO,MICROFIBRA
306,15016,D00914:00058:00058,SOFA TOTTI,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,2.0,CAFE,160.0,78.0,82.0,SOFA TOTTI 2P,SOFA 2P,CAFE,MICROFIBRA
307,15016,D00914:00061:00061,SOFA TOTTI,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,2.0,CAFE,160.0,78.0,82.0,SOFA TOTTI 2P,SOFA 2P,CAFE,MICROFIBRA
308,15016,D00914:00062:00062,SOFA TOTTI,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,2.0,MORADO,160.0,78.0,82.0,SOFA TOTTI 2P,SOFA 2P,OTRO,MICROFIBRA
309,15016,D00914:00187:00187,SOFA TOTTI,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,2.0,CAFE,160.0,78.0,82.0,SOFA TOTTI 2P,SOFA 2P,CAFE,MICROFIBRA
310,15017,D00915:00058:00058,SOFA TOTTI,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,187.0,82.0,80.0,SOFA TOTTI 3P,SOFA 3P,CAFE,MICROFIBRA
311,15017,D00915:00061:00061,SOFA TOTTI,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,187.0,82.0,80.0,SOFA TOTTI 3P,SOFA 3P,CAFE,MICROFIBRA
312,15017,D00915:00062:00062,SOFA TOTTI,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,3.0,MORADO,187.0,82.0,80.0,SOFA TOTTI 3P,SOFA 3P,OTRO,MICROFIBRA
313,15017,D00915:00187:00187,SOFA TOTTI,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,187.0,82.0,80.0,SOFA TOTTI 3P,SOFA 3P,CAFE,MICROFIBRA
314,15305,D00918:00013:00013,SOFA JENNA,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,2.0,GRIS,153.0,76.0,62.0,SOFA JENNA 2P DESCONTINUADO,SOFA 2P,GRIS,SINTÉTICO
315,15306,D00919:00075:00075,SOFA JENNA,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,3.0,CAFE,163.0,81.0,87.0,SOFA JENNA 3P DESCONTINUADO,SOFA 3P,CAFE,SINTÉTICO
316,15307,D00920:00130:00129,SOFA JINELLE,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,2.0,NEGRO,153.0,76.0,62.0,SOFA JINELLE 2P DESCONTINUADO,SOFA 2P,NEGRO,SINTÉTICO
317,15308,D00921:00128:00008,SOFA JINELLE,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,3.0,BEIGE,163.0,81.0,87.0,SOFA JINELLE 3P DESCONTINUADO,SOFA 3P,BEIGE,SINTÉTICO
318,15308,D00921:00130:00129,SOFA JINELLE,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,3.0,NEGRO,163.0,81.0,87.0,SOFA JINELLE 3P DESCONTINUADO,SOFA 3P,NEGRO,SINTÉTICO
319,15309,D00922:00073:00075,SOFA JOANNIE,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,2.0,BEIGE,153.0,76.0,62.0,SOFA JOANNIE 2P DESCONTINUADO,SOFA 2P,BEIGE,SINTÉTICO
320,15310,D00923:00073:00075,SOFA JOANNIE,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,SINTÉTICO,SUPERFICIES MATES,3.0,BEIGE,163.0,81.0,87.0,SOFA JOANNIE 3P DESCONTINUADO,SOFA 3P,BEIGE,SINTÉTICO
321,16323,D00935:00016:00016,SOFA CAMA SITTON,SALAS Y SOFAS,SOFA CAMA ABATIBLE,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,NARANJA,184.0,82.0,91.0,SOFA CAMA SITTON,SOFA CAMA ABATIBLE,OTRO,MICROFIBRA
322,16323,D00935:00048:00048,SOFA CAMA SITTON,SALAS Y SOFAS,SOFA CAMA ABATIBLE,LINEA,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,AZUL,184.0,82.0,91.0,SOFA CAMA SITTON,SOFA CAMA ABATIBLE,AZUL,MICROFIBRA
323,16323,D00935:00051:00051,SOFA CAMA SITTON,SALAS Y SOFAS,SOFA CAMA ABATIBLE,LINEA,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,CAMEL,184.0,82.0,91.0,SOFA CAMA SITTON,SOFA CAMA ABATIBLE,OTRO,MICROFIBRA
324,16323,D00935:00079:00079,SOFA CAMA SITTON,SALAS Y SOFAS,SOFA CAMA ABATIBLE,LINEA,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,NEGRO,184.0,82.0,91.0,SOFA CAMA SITTON,SOFA CAMA ABATIBLE,NEGRO,MICROFIBRA
325,16323,D00935:00133:00133,SOFA CAMA SITTON,SALAS Y SOFAS,SOFA CAMA ABATIBLE,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,VERDE,184.0,82.0,91.0,SOFA CAMA SITTON,SOFA CAMA ABATIBLE,OTRO,MICROFIBRA
326,16323,D00935:00134:00134,SOFA CAMA SITTON,SALAS Y SOFAS,SOFA CAMA ABATIBLE,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,ROJO,184.0,82.0,91.0,SOFA CAMA SITTON,SOFA CAMA ABATIBLE,ROJO,MICROFIBRA
327,16417,D00953:00062:00065,SOFA CAMA LAMAR,SALAS Y SOFAS,SOFA CAMA ABATIBLE,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,MORADO,185.0,80.0,95.0,SOFA CAMA LAMAR NACIONAL DESCONTINUADO,SOFA CAMA ABATIBLE,OTRO,MICROFIBRA
328,16417,D00953:00065:00062,SOFA CAMA LAMAR,SALAS Y SOFAS,SOFA CAMA ABATIBLE,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,GRIS,185.0,80.0,95.0,SOFA CAMA LAMAR NACIONAL DESCONTINUADO,SOFA CAMA ABATIBLE,GRIS,MICROFIBRA
329,16417,D00953:00065:00063,SOFA CAMA LAMAR,SALAS Y SOFAS,SOFA CAMA ABATIBLE,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,GRIS,185.0,80.0,95.0,SOFA CAMA LAMAR NACIONAL DESCONTINUADO,SOFA CAMA ABATIBLE,GRIS,MICROFIBRA
330,15033,D00963:00063:00063,SOFA SHAY,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,AZUL,152.0,87.0,82.0,SOFA SHAY 2P,SOFA 2P,AZUL,MICROFIBRA
331,15033,D00963:00106:00106,SOFA SHAY,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,VERDE,152.0,87.0,82.0,SOFA SHAY 2P,SOFA 2P,OTRO,MICROFIBRA
332,15033,D00963:00115:00115,SOFA SHAY,SALAS Y SOFAS,SOFA 2P,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,CAFE,152.0,87.0,82.0,SOFA SHAY 2P,SOFA 2P,CAFE,MICROFIBRA
333,15034,D00964:00063:00063,SOFA SHAY,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,AZUL,192.0,87.0,82.0,SOFA SHAY 3P,SOFA 3P,AZUL,MICROFIBRA
334,15034,D00964:00106:00106,SOFA SHAY,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,VERDE,192.0,87.0,82.0,SOFA SHAY 3P,SOFA 3P,OTRO,MICROFIBRA
335,15034,D00964:00115:00115,SOFA SHAY,SALAS Y SOFAS,SOFA 3P,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,192.0,87.0,82.0,SOFA SHAY 3P,SOFA 3P,CAFE,MICROFIBRA
336,15067,D00976:00120:00120,PUFF SOFIA,SALAS Y SOFAS,PUFF,DESCONTINUADO,MANUFACTURADO,C+M - CLÁSICO + MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,62.0,47.0,49.0,PUFF SOFIA,PUFF,CAFE,MICROFIBRA
337,15067,D00976:00125:00125,PUFF SOFIA,SALAS Y SOFAS,PUFF,LINEA,MANUFACTURADO,C+M - CLÁSICO + MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,NARANJA,62.0,47.0,49.0,PUFF SOFIA,PUFF,OTRO,MICROFIBRA
338,15048,D00981:00072:00072,SOFA KANU,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,GRIS,144.0,88.0,92.0,SOFA KANU 2P,SOFA 2P,GRIS,MICROFIBRA
339,15048,D00981:00124:00124,SOFA KANU,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,GRIS,144.0,88.0,92.0,SOFA KANU 2P,SOFA 2P,GRIS,MICROFIBRA
340,15048,D00981:00132:00132,SOFA KANU,SALAS Y SOFAS,SOFA 2P,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,AMARILLO,144.0,88.0,92.0,SOFA KANU 2P,SOFA 2P,AMARILLO,MICROFIBRA
341,15049,D00982:00072:00072,SOFA KANU,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,GRIS,192.0,88.0,92.0,SOFA KANU 3P,SOFA 3P,GRIS,MICROFIBRA
342,15049,D00982:00124:00124,SOFA KANU,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,GRIS,192.0,88.0,92.0,SOFA KANU 3P,SOFA 3P,GRIS,MICROFIBRA
343,15049,D00982:00132:00132,SOFA KANU,SALAS Y SOFAS,SOFA 3P,LINEA,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,AMARILLO,192.0,88.0,92.0,SOFA KANU 3P,SOFA 3P,AMARILLO,MICROFIBRA
344,16197,D00985:00061:00061,SOFA LANCER,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,171.0,85.0,85.0,SOFA LANCER 3P,SOFA 3P,CAFE,MICROFIBRA
345,16197,D00985:00065:00065,SOFA LANCER,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,GRIS,171.0,85.0,85.0,SOFA LANCER 3P,SOFA 3P,GRIS,MICROFIBRA
346,16197,D00985:00069:00069,SOFA LANCER,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,AMARILLO,171.0,85.0,85.0,SOFA LANCER 3P,SOFA 3P,AMARILLO,MICROFIBRA
347,16197,D00985:00072:00072,SOFA LANCER,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,GRIS,171.0,85.0,85.0,SOFA LANCER 3P,SOFA 3P,GRIS,MICROFIBRA
348,16197,D00985:00081:00081,SOFA LANCER,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,BEIGE,171.0,85.0,85.0,SOFA LANCER 3P,SOFA 3P,BEIGE,MICROFIBRA
349,16896,D00986:00061:00061,SOFA LANCER,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,CAFE,139.0,85.0,85.0,SOFA LANCER 2P,SOFA 2P,CAFE,MICROFIBRA
350,16896,D00986:00065:00065,SOFA LANCER,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,GRIS,139.0,85.0,85.0,SOFA LANCER 2P,SOFA 2P,GRIS,MICROFIBRA
351,16896,D00986:00069:00069,SOFA LANCER,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,AMARILLO,139.0,85.0,85.0,SOFA LANCER 2P,SOFA 2P,AMARILLO,MICROFIBRA
352,16896,D00986:00072:00072,SOFA LANCER,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,GRIS,139.0,85.0,85.0,SOFA LANCER 2P,SOFA 2P,GRIS,MICROFIBRA
353,16896,D00986:00081:00081,SOFA LANCER,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,BEIGE,139.0,85.0,85.0,SOFA LANCER 2P,SOFA 2P,BEIGE,MICROFIBRA
354,15061,D00991:00066:00066,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CREMA,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,OTRO,MICROFIBRA
355,15061,D00991:00067:00067,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
356,15061,D00991:00069:00069,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,AMARILLO,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,AMARILLO,MICROFIBRA
357,15061,D00991:00070:00070,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
358,15061,D00991:00071:00071,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
359,15061,D00991:00072:00072,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,GRIS,MICROFIBRA
360,15061,D00991:00081:00081,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,BEIGE,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,BEIGE,MICROFIBRA
361,15061,D00991:00086:00086,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
362,15061,D00991:00095:00095,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,GRIS,MICROFIBRA
363,15061,D00991:00096:00096,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
364,15061,D00991:00097:00097,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,NEGRO,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,NEGRO,MICROFIBRA
365,15061,D00991:00109:00109,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
366,15061,D00991:00111:00111,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
367,15061,D00991:00113:00113,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
368,15061,D00991:00367:00367,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,GRIS,MICROFIBRA
369,15061,D00991:00370:00370,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,GRIS,MICROFIBRA
370,15061,D00991:00372:00372,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,GRIS,MICROFIBRA
371,15061,D00991:00378:00378,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,GRIS,MICROFIBRA
372,15061,D00991:00438:00438,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,GRIS,MICROFIBRA
373,15061,D00991:00440:00440,SILLA AUXILIAR KABRA,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,68.0,73.0,54.0,SILLA AUXILIAR KABRA DESCONTINUADO,SILLAS AUXILIARES,GRIS,MICROFIBRA
374,15212,D00992:00066:00066,SILLA AUXILIAR KALAP,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CREMA,62.0,76.0,70.0,SILLA AUXILIAR KALAP DESCONTINUADO,SILLAS AUXILIARES,OTRO,MICROFIBRA
375,15212,D00992:00069:00069,SILLA AUXILIAR KALAP,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,AMARILLO,62.0,76.0,70.0,SILLA AUXILIAR KALAP DESCONTINUADO,SILLAS AUXILIARES,AMARILLO,MICROFIBRA
376,15212,D00992:00070:00070,SILLA AUXILIAR KALAP,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,62.0,76.0,70.0,SILLA AUXILIAR KALAP DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
377,15212,D00992:00071:00071,SILLA AUXILIAR KALAP,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,CAFE,62.0,76.0,70.0,SILLA AUXILIAR KALAP DESCONTINUADO,SILLAS AUXILIARES,CAFE,MICROFIBRA
378,15212,D00992:00072:00072,SILLA AUXILIAR KALAP,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,62.0,76.0,70.0,SILLA AUXILIAR KALAP DESCONTINUADO,SILLAS AUXILIARES,GRIS,MICROFIBRA
