,ITEM,REF,DESCRIPCION,CATEGORIA,SUBCATEGORIA,VIGENCIA,ORIGEN,ESTILO,MATERIAL,ACABADO,PUESTOS,COLOR,ANCHO,ALTO,FONDO,DESC_LARGA,SUBCATEGORIA_POS,COLOR_POS,MATERIAL_POS
97,19054,D00068:00130:00130,SOFA DAVOS,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,3.0,NEGRO,150.0,90.0,90.0,SOFA DAVOS 3P DESCONTINUADO,SOFA 3P,NEGRO,MICROFIBRA
98,19054,D00068:00141:00141,SOFA DAVOS,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,150.0,90.0,90.0,SOFA DAVOS 3P DESCONTINUADO,SOFA 3P,CAFE,MICROFIBRA
99,19055,D00069:00135:00135,SOFA VERONA,SALAS Y SOFAS,SOFA 2P,NOVEDAD,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,2.0,AZUL,156.0,78.0,92.0,SOFA VERONA 2P,SOFA 2P,AZUL,MICROFIBRA
100,19056,D00070:00135:00135,SOFA VERONA,SALAS Y SOFAS,SOFA 3P,NOVEDAD,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,3.0,AZUL,186.0,79.0,92.0,SOFA VERONA 3P,SOFA 3P,AZUL,MICROFIBRA
101,19078,D00071:00072:00072,SOFA LIVORNO,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,2.0,GRIS,155.0,88.0,90.0,SOFA LIVORNO 2P DESCONTINUADO,SOFA 2P,GRIS,MICROFIBRA
102,19079,D00072:00072:00072,SOFA LIVORNO,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CLÁSICO,MICROFIBRA,TEXTILES SUAVES,3.0,GRIS,185.0,88.0,90.0,SOFA LIVORNO 3P DESCONTINUADO,SOFA 3P,GRIS,MICROFIBRA
103,19080,D00074:00103:00103,SOFA TURIN,SALAS Y SOFAS,SOFA 2P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,GRIS,150.0,88.0,90.0,SOFA TURIN 2P DESCONTINUADO,SOFA 2P,GRIS,MICROFIBRA
104,19081,D00075:00103:00103,SOFA TURIN,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,GRIS,180.0,88.0,90.0,SOFA TURIN 3P DESCONTINUADO,SOFA 3P,GRIS,MICROFIBRA
105,19081,D00075:00115:00115,SOFA TURIN,SALAS Y SOFAS,SOFA 3P,DESCONTINUADO,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,3.0,CAFE,180.0,88.0,90.0,SOFA TURIN 3P DESCONTINUADO,SOFA 3P,CAFE,MICROFIBRA
106,19089,D00077:00120:00120,CABECERO DINAMARCA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,2.0,CAFE,180.0,130.0,15.0,CABECERO DINAMARCA,OTROS,CAFE,MICROFIBRA
107,19089,D00077:00124:00124,CABECERO DINAMARCA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,,GRIS,170.0,120.0,12.0,CABECERO DINAMARCA,OTROS,GRIS,MICROFIBRA
108,19089,D00077:00195:00195,CABECERO DINAMARCA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,,GRIS,170.0,120.0,12.0,CABECERO DINAMARCA,OTROS,GRIS,MICROFIBRA
109,19089,D00077:00197:00197,CABECERO DINAMARCA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,,GRIS,170.0,120.0,12.0,CABECERO DINAMARCA,OTROS,GRIS,MICROFIBRA
110,19089,D00077:00437:00437,CABECERO DINAMARCA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,CONTEMPORÁNEO,MICROFIBRA,TEXTILES SUAVES,,GRIS,170.0,120.0,12.0,CABECERO DINAMARCA,OTROS,GRIS,MICROFIBRA
111,15060,D00086:00065:00065,SILLA NINTENDO,SALAS Y SOFAS,SILLAS AUXILIARES,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,GRIS,92.0,67.0,50.0,SILLA NINTENDO,SILLAS AUXILIARES,GRIS,MICROFIBRA
112,15060,D00086:00376:00376,SILLA NINTENDO,SALAS Y SOFAS,SILLAS AUXILIARES,LINEA,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,NARANJA,92.0,67.0,50.0,SILLA NINTENDO,SILLAS AUXILIARES,OTRO,MICROFIBRA
113,15060,D00086:00382:00382,SILLA NINTENDO,SALAS Y SOFAS,SILLAS AUXILIARES,LINEA,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,ROJO,92.0,67.0,50.0,SILLA NINTENDO,SILLAS AUXILIARES,ROJO,MICROFIBRA
114,19279,D00101:00008:00008,CABECERO CEUTA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,2.0,CAFE,172.0,122.0,12.0,CABECERO CEUTA,OTROS,CAFE,SINTÉTICO
115,19279,D00101:00130:00130,CABECERO CEUTA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,,NEGRO,172.0,122.0,12.0,CABECERO CEUTA,OTROS,NEGRO,SINTÉTICO
116,19279,D00101:00194:00194,CABECERO CEUTA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,,GRIS,172.0,122.0,12.0,CABECERO CEUTA,OTROS,GRIS,SINTÉTICO
117,19279,D00101:00197:00197,CABECERO CEUTA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,,GRIS,172.0,122.0,12.0,CABECERO CEUTA,OTROS,GRIS,SINTÉTICO
118,19280,D00102:00008:00008,BASE CAMA CEUTA,ALCOBAS,BASE CAMA DOBLE,NOVEDAD,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,2.0,CAFE,198.0,28.0,148.0,BASE CAMA CEUTA DOBLE,OTROS,CAFE,SINTÉTICO
119,19280,D00102:00130:00130,BASE CAMA CEUDA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,,NEGRO,198.0,28.0,148.0,BASE CAMA CEUTA DOBLE,OTROS,NEGRO,SINTÉTICO
120,19280,D00102:00197:00197,BASE CAMA CEUDA,ALCOBAS,TAPIZADOS,NOVEDAD,MANUFACTURADO,MODERNO,SINTÉTICO,SUPERFICIES MATES,,GRIS,198.0,28.0,148.0,BASE CAMA CEUTA DOBLE,OTROS,GRIS,SINTÉTICO
121,15008,D00117:00069:00069,POLTRONA ARAMIS,SALAS Y SOFAS,POLTRONAS,DESCONTINUADO,MANUFACTURADO,MODERNO,MICROFIBRA,TEXTILES SUAVES,1.0,AMARILLO,66.0,77.0,62.0,POLTRONA ARAMIS DESCONTINUADO,POLTRONAS,AMARILLO,MICROFIBRA
122,19202,D00118:00001:,ESCRITORIO ACRE,ESTUDIO,ESCRITORIOS,NOVEDAD,NACIONAL,MODERNO,MADERA LAMINADA,MATE,,BLANCO,120.0,70.0,50.0,ESCRITORIO ACRE (1C) ROVERE/BL ERB 2689,OTROS,BLANCO,MADERA LAMINADA
123,19204,D00120:00032:,ESCRITORIO ATLANTER,ESTUDIO,ESCRITORIOS,NOVEDAD,NACIONAL,CLÁSICO,MADERA LAMINADA,MATE,,MARFIL,120.0,70.0,50.0,ESCRITORIO ATLANTER (1C) OL/MRF ELV 1463,OTROS,OTRO,MADERA LAMINADA
124,19205,D00121:00021:,ESCRITORIO ATLANTER,ESTUDIO,ESCRITORIOS,NOVEDAD,NACIONAL,MODERNO,MADERA LAMINADA,MATE,,WENGUE,120.0,70.0,50.0,ESCRITORIO ATLANTER (1C) WG/NG ELW1828,OTROS,OTRO,MADERA LAMINADA
125,19206,D00122:00021:,ESCRITORIO DUBLIN,ESTUDIO,ESCRITORIOS,LINEA,NACIONAL,MODERNO,MADERA LAMINADA,MATE,1.0,WENGUE,110.0,70.0,60.0,ESCRITORIO DUBLIN (1C) WENGUE ELW 1330,OTROS,OTRO,MADERA LAMINADA
