Item;Desc. item;Desc. ext. 1 detalle;Desc. ext. 2 detalle;Desc. tipo inventario;ORIGEN;DEPARTAMENTO;SUBCATEGORIA;ESTILO;VIGENCIA;001-DESCRIPCION UNIFICADA;001-ALTO EXHIBIDO;001-ANCHO EXHIBIDO;001-FONDO EXHIBIDO;001-MATERIAL PPAL;001-ACABADO;REF_Combinada;COLOR DEF;Puestos
0015008;POLTRONA ARAMIS DESCONTINUADO;F-138 AGO;F-138 AGO;PRODUCTO TERMINADO TAPICERIA;MAN - MANUFACTURADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;MOD - MODERNO;002 - DESCONTINUADO;POLTRONA ARAMIS;77;66;62;Microfibra;Textiles suaves;D00117:00069:00069;AMARILLO;1 Puesto
0019477;POLTRONA ELIEL AM PATAS NG;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA ELIEL;77;66;62;Microfibra;Textiles suaves;XC0137::;AMARILLO;1 Puesto
0019479;POLTRONA ELIUD GR PATAS NG;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA ELIUD;89;67;63;Microfibra;Textiles suaves;XC0139::;GRIS;1 Puesto
0019474;POLTRONA ESTEFANIA GR PATAS NG;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA ESTEFANIA;80;57;67;Microfibra;Textiles suaves;XC0134::;GRIS;1 Puesto
0019473;POLTRONA ESTEFANIA RJ PATAS NG;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA ESTEFANIA;80;57;67;Microfibra;Textiles suaves;XC0133::;ROJO;1 Puesto
0019471;POLTRONA EUGENIA AZ PATAS DORADAS;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA EUGENIA;70;63;63;Microfibra;Textiles suaves;XC0131::;AZUL;1 Puesto
0019472;POLTRONA EUGENIA VD PATAS DORADAS;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA EUGENIA;70;63;63;Microfibra;Textiles suaves;XC0132::;VERDE;1 Puesto
0019475;POLTRONA EULALY GR PATAS DORADAS;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA EULALY;79;74;69;Microfibra;Textiles suaves;XC0135::;GRIS;1 Puesto
0019476;POLTRONA EVANE VD PATAS NG;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;MOD - MODERNO;003 - NOVEDAD;POLTRONA EVANE;77;76;54;Microfibra;Textiles suaves;XC0136::;VERDE;1 Puesto
0019773;POLTRONA EVANGELINA;F-304 T/P;F-304 T/P;PRODUCTO TERMINADO TAPICERIA;NAC - NACIONAL;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA EVANGELINA;77;76;54;Microfibra;Textiles suaves;D00546:00188:00188;AZUL;1 Puesto
0019773;POLTRONA EVANGELINA;F-302 T/P;F-302 T/P;PRODUCTO TERMINADO TAPICERIA;NAC - NACIONAL;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA EVANGELINA;77;76;54;Microfibra;Textiles suaves;D00546:00185:00185;ROJO;1 Puesto
0019470;POLTRONA EVANGELINA AZ;;;MCIA NO FABRICADA IMPORTADA;IMP - IMPORTADO;P003 - SALAS Y SOFAS;POLT - POLTRONAS;CON - CONTEMPORÁNEO;003 - NOVEDAD;POLTRONA EVANGELINA;72;57;63;Microfibra;Textiles suaves;XC0130::;AZUL;1 Puesto
